id,name,gender,birth_date,birth_year,birth_month,birth_day,birth_calendar,death_date,death_year,death_month,death_day,death_calendar,is_deceased,phone,address,remark,family_tree_id,generation,clan_name,ancestral_home,courtesy_name,pseudonym,education,occupation,spouses,children,parents,aliases,achievements,biography
b612,贾东巍,female,1969/6/13,1969,6,13,gregorian,,,,,gregorian,0,137-0507-7172,,,a1001,4,,,,,,,"[""b611""]",,,,,
b6111,陈嘉骁,male,1993/7/21,1993,7,21,gregorian,,,,,gregorian,0,,,,a1001,5,,,,,,,,"[""b6111""]","[""b611"",""b612""]",,,
b621,陈炜,female,1973/8/19,1973,8,19,gregorian,,,,,gregorian,0,135-0935-6032,,,a1001,4,,,,,,,,,"[""b61"",""b62""]",,,
b71,陈永,male,1942/12/30,1942,12,30,gregorian,,,,,gregorian,0,138-0875-5892,,,a1001,3,,,,,,,"[""b72""]","[""b711"",""b721""]","[""a1"",""a2""]",,,
b72,黄永芬,female,1944/7/25,1944,7,25,gregorian,,,,,gregorian,0,,,,a1001,3,,,,,,,"[""b71""]",,,,,
b711,陈旻瑜,female,1973/8/28,1973,8,28,gregorian,,,,,gregorian,0,136-3222-1811,,,a1001,4,,,,,,,"[""b712""]","[""b7111""]","[""b71"",""b72""]",,,
b712,郭吉安,male,1972/8/25,1972,8,25,gregorian,,,,,gregorian,0,,,,a1001,4,,,,,,,"[""b711""]",,,,,
b7111,郭奕霏,male,2002/11/15,2002,11,15,gregorian,,,,,gregorian,0,,,,a1001,5,,,,,,,,,"[""b711"",""b712""]",,,
b721,陈旻波,male,1980/6/14,1980,6,14,gregorian,,,,,gregorian,0,135-2916-4523,,,a1001,4,,,,,,,"[""b722""]","[""b7211"",""b7212""]","[""b71"",""b72""]",,,
b722,周原馨,female,1986/4/28,1986,4,28,gregorian,,,,,gregorian,0,,,,a1001,4,,,,,,,"[""b721""]",,,,,
b7211,陈俞宏,male,2014/12/16,2014,12,16,gregorian,,,,,gregorian,0,,,,a1001,5,,,,,,,,,"[""b721"",""b722""]",,,
b7212,陈俞含,female,2017/3/6,2017,3,6,gregorian,,,,,gregorian,0,,,,a1001,5,,,,,,,,,"[""b721"",""b722""]",,,
